Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode,Year,Month,Month_Name,Quarter,Week_of_Year,Day_of_Week,Profit_Margin_%,Revenue_after_Ship,Is_Profitable,Discount_Bucket
ORD-000001,2022-04-07,CUST-0443,Mary Jackson,Corporate,East,Pennsylvania,PROD-0148,Office Supplies,Binders,Ultra Marker 562,849.62,5,0.0,123.72,238.64,Card,2022,4,Apr,2,14,Thursday,14.56,610.98,1,No Discount
ORD-000002,2023-02-08,CUST-0176,Jessica Williams,Corporate,East,Connecticut,PROD-0044,Furniture,Tables,Basic Shelf 287,568.01,2,0.3,-6.7,63.68,Net Banking,2023,2,Feb,1,6,Wednesday,-1.18,504.33,0,Medium (16–35%)
ORD-000003,2023-06-03,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0008,Technology,Accessories,Smart Monitor 281,1610.23,3,0.0,129.43,37.98,Cash,2023,6,Jun,2,22,Saturday,8.04,1572.25,1,No Discount
ORD-000004,2022-06-28,CUST-0210,Susan Moore,Consumer,West,Arizona,PROD-0179,Technology,Phones,Premium Laptop 338,3245.66,7,0.5,-986.43,139.71,Net Banking,2022,6,Jun,2,26,Tuesday,-30.39,3105.95,0,High (>35%)
ORD-000005,2023-09-11,CUST-0045,Jessica Miller,Consumer,North,Michigan,PROD-0076,Furniture,Furnishings,Smart Shelf 948,2396.91,5,0.0,460.38,42.14,Net Banking,2023,9,Sep,3,37,Monday,19.21,2354.77,1,No Discount
ORD-000006,2022-06-27,CUST-0242,William Harris,Corporate,West,Nevada,PROD-0126,Office Supplies,Fasteners,Eco Scissors 329,201.15,7,0.3,-26.96,35.68,Net Banking,2022,6,Jun,2,26,Monday,-13.4,165.47,0,Medium (16–35%)
ORD-000007,2022-04-09,CUST-0239,William Jackson,Consumer,South,Virginia,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,3380.9,2,0.0,846.72,81.97,Net Banking,2022,4,Apr,2,14,Saturday,25.04,3298.93,1,No Discount
ORD-000008,2022-04-11,CUST-0498,Richard Williams,Consumer,South,North Carolina,PROD-0194,Office Supplies,Labels,Smart Notebook 427,576.06,7,0.5,-102.65,98.53,UPI,2022,4,Apr,2,15,Monday,-17.82,477.53,0,High (>35%)
ORD-000009,2021-03-13,CUST-0041,Michael Brown,Consumer,North,Minnesota,PROD-0102,Furniture,Furnishings,Basic Cabinet 346,10539.93,10,0.0,907.33,385.88,Cash,2021,3,Mar,1,10,Saturday,8.61,10154.05,1,No Discount
ORD-000010,2022-03-10,CUST-0486,John Williams,Home Office,South,North Carolina,PROD-0043,Office Supplies,Labels,Pro Scissors 420,551.62,7,0.1,148.49,227.36,UPI,2022,3,Mar,1,10,Thursday,26.92,324.26,1,Low (≤15%)
ORD-000011,2021-05-18,CUST-0164,James Moore,Consumer,West,Arizona,PROD-0187,Technology,Copiers,Smart Camera 278,4228.19,5,0.5,-316.49,17.91,Net Banking,2021,5,May,2,20,Tuesday,-7.49,4210.28,0,High (>35%)
ORD-000012,2021-11-03,CUST-0058,John Taylor,Consumer,South,North Carolina,PROD-0107,Technology,Accessories,Premium Laptop 908,3568.81,2,0.0,780.87,15.49,UPI,2021,11,Nov,4,44,Wednesday,21.88,3553.32,1,No Discount
ORD-000013,2022-12-06,CUST-0445,William Anderson,Consumer,South,Florida,PROD-0138,Furniture,Tables,Elite Cabinet 161,8839.99,10,0.5,-2994.64,159.44,Cash,2022,12,Dec,4,49,Tuesday,-33.88,8680.55,0,High (>35%)
ORD-000014,2023-04-03,CUST-0317,Susan Williams,Home Office,East,Connecticut,PROD-0156,Furniture,Tables,Eco Desk 481,694.75,4,0.0,190.17,185.12,UPI,2023,4,Apr,2,14,Monday,27.37,509.63,1,No Discount
ORD-000015,2022-09-13,CUST-0011,Linda Taylor,Home Office,East,New York,PROD-0087,Furniture,Furnishings,Premium Chair 812,1243.45,2,0.1,12.83,97.58,Net Banking,2022,9,Sep,3,37,Tuesday,1.03,1145.87,1,Low (≤15%)
ORD-000016,2022-07-06,CUST-0397,Sarah Anderson,Corporate,South,Florida,PROD-0083,Furniture,Bookcases,Pro Sofa 153,10689.98,8,0.1,2608.67,177.1,Net Banking,2022,7,Jul,3,27,Wednesday,24.4,10512.88,1,Low (≤15%)
ORD-000017,2023-02-05,CUST-0389,Linda Johnson,Home Office,North,Michigan,PROD-0133,Technology,Copiers,Ultra Speaker 850,4710.14,5,0.4,-1080.06,215.05,Card,2023,2,Feb,1,5,Sunday,-22.93,4495.09,0,High (>35%)
ORD-000018,2022-02-16,CUST-0089,Barbara Jackson,Corporate,North,Michigan,PROD-0050,Technology,Phones,Pro Monitor 299,4244.38,6,0.1,221.53,250.23,Net Banking,2022,2,Feb,1,7,Wednesday,5.22,3994.15,1,Low (≤15%)
ORD-000019,2021-03-04,CUST-0326,Barbara Thomas,Corporate,East,Pennsylvania,PROD-0032,Furniture,Tables,Pro Lamp 438,3134.22,8,0.3,-271.82,338.96,UPI,2021,3,Mar,1,9,Thursday,-8.67,2795.26,0,Medium (16–35%)
ORD-000020,2021-07-05,CUST-0384,Richard Taylor,Home Office,South,Florida,PROD-0177,Furniture,Bookcases,Pro Lamp 676,5774.69,10,0.1,1311.62,334.27,Cash,2021,7,Jul,3,27,Monday,22.71,5440.42,1,Low (≤15%)
ORD-000021,2023-04-19,CUST-0138,Susan Martin,Home Office,West,Oregon,PROD-0167,Technology,Accessories,Ultra Monitor 758,1300.33,1,0.5,-99.53,33.43,Card,2023,4,Apr,2,16,Wednesday,-7.65,1266.9,0,High (>35%)
ORD-000022,2022-09-18,CUST-0115,William Davis,Consumer,South,North Carolina,PROD-0065,Office Supplies,Binders,Basic Marker 238,287.62,7,0.3,-15.04,92.79,UPI,2022,9,Sep,3,37,Sunday,-5.23,194.83,0,Medium (16–35%)
ORD-000023,2023-03-25,CUST-0347,Susan Wilson,Corporate,West,Washington,PROD-0134,Office Supplies,Storage,Ultra Marker 254,959.47,6,0.2,-19.63,48.49,Card,2023,3,Mar,1,12,Saturday,-2.05,910.98,0,Medium (16–35%)
