Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode
ORD-000001,2022-04-07,CUST-0443,Mary Jackson,Corporate,East,Pennsylvania,PROD-0148,Office Supplies,Binders,Ultra Marker 562,849.62,5,0.0,123.72,238.64,Card
ORD-000002,2023-02-08,CUST-0176,Jessica Williams,Corporate,East,Connecticut,PROD-0044,Furniture,Tables,Basic Shelf 287,568.01,2,0.3,-6.7,63.68,Net Banking
ORD-000003,2023-06-03,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0008,Technology,Accessories,Smart Monitor 281,1610.23,3,0.0,129.43,37.98,Cash
ORD-000004,2022-06-28,CUST-0210,Susan Moore,Consumer,West,Arizona,PROD-0179,Technology,Phones,Premium Laptop 338,3245.66,7,0.5,-986.43,139.71,Net Banking
ORD-000005,2023-09-11,CUST-0045,Jessica Miller,Consumer,North,Michigan,PROD-0076,Furniture,Furnishings,Smart Shelf 948,2396.91,5,0.0,460.38,42.14,Net Banking
ORD-000006,2022-06-27,CUST-0242,William Harris,Corporate,West,Nevada,PROD-0126,Office Supplies,Fasteners,Eco Scissors 329,201.15,7,0.3,-26.96,35.68,Net Banking
ORD-000007,2022-04-09,CUST-0239,William Jackson,Consumer,South,Virginia,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,3380.9,2,0.0,846.72,81.97,Net Banking
ORD-000008,2022-04-11,CUST-0498,Richard Williams,Consumer,South,North Carolina,PROD-0194,Office Supplies,Labels,Smart Notebook 427,576.06,7,0.5,-102.65,98.53,UPI
ORD-000009,2021-03-13,CUST-0041,Michael Brown,Consumer,North,Minnesota,PROD-0102,Furniture,Furnishings,Basic Cabinet 346,10539.93,10,0.0,907.33,385.88,Cash
ORD-000010,2022-03-10,CUST-0486,John Williams,Home Office,South,North Carolina,PROD-0043,Office Supplies,Labels,Pro Scissors 420,551.62,7,0.1,148.49,227.36,UPI
ORD-000011,2021-05-18,CUST-0164,James Moore,Consumer,West,Arizona,PROD-0187,Technology,Copiers,Smart Camera 278,4228.19,5,0.5,-316.49,17.91,Net Banking
ORD-000012,2021-11-03,CUST-0058,John Taylor,Consumer,South,North Carolina,PROD-0107,Technology,Accessories,Premium Laptop 908,3568.81,2,0.0,780.87,15.49,UPI
ORD-000013,2022-12-06,CUST-0445,William Anderson,Consumer,South,Florida,PROD-0138,Furniture,Tables,Elite Cabinet 161,8839.99,10,0.5,-2994.64,159.44,Cash
ORD-000014,2023-04-03,CUST-0317,Susan Williams,Home Office,East,Connecticut,PROD-0156,Furniture,Tables,Eco Desk 481,694.75,4,0.0,190.17,185.12,UPI
ORD-000015,2022-09-13,CUST-0011,Linda Taylor,Home Office,East,New York,PROD-0087,Furniture,Furnishings,Premium Chair 812,1243.45,2,0.1,12.83,97.58,Net Banking
ORD-000016,2022-07-06,CUST-0397,Sarah Anderson,Corporate,South,Florida,PROD-0083,Furniture,Bookcases,Pro Sofa 153,10689.98,8,0.1,2608.67,177.1,Net Banking
ORD-000017,2023-02-05,CUST-0389,Linda Johnson,Home Office,North,Michigan,PROD-0133,Technology,Copiers,Ultra Speaker 850,4710.14,5,0.4,-1080.06,215.05,Card
